207 377
0
1
191 114 814
0
3
178 95 817
163 199 816
135 152 815
2
153 159 819
60 85 818
1
109 64 820
0
0
1
118 165 821
3
204 23 824
40 97 823
0 1 822
0
0
2
147 2 826
142 89 825
0
4
97 135 830
75 94 829
70 198 828
57 129 827
0
0
0
0
1
71 80 831
0
2
179 159 833
40 64 832
0
0
0
0
1
123 166 834
0
1
35 79 835
0
0
0
1
170 193 836
0
0
0
0
2
191 163 838
89 171 837
1
27 32 839
0
1
101 2 840
0
3
186 78 843
146 78 842
120 28 841
1
135 117 844
2
191 203 846
136 0 845
0
1
171 96 847
2
123 120 849
5 185 848
2
124 184 851
34 62 850
0
0
1
171 202 852
1
185 72 853
1
75 122 854
0
1
90 42 855
0
0
0
2
162 184 857
141 177 856
0
0
0
0
0
0
2
130 66 859
5 180 858
0
0
0
0
0
1
108 142 860
0
0
0
0
0
0
1
16 165 861
0
0
0
0
1
184 74 862
3
193 160 865
124 47 864
33 150 863
1
184 68 866
0
1
41 201 867
2
116 194 869
14 129 868
0
0
0
1
119 39 870
1
164 171 871
0
1
78 138 872
0
2
113 84 874
54 108 873
1
116 107 875
0
0
4
194 132 879
80 137 878
33 184 877
13 50 876
2
205 122 881
122 9 880
0
3
160 99 884
136 8 883
45 103 882
0
1
111 188 885
0
0
0
1
48 187 886
0
0
0
0
0
1
158 165 887
2
75 42 889
45 123 888
3
140 31 892
74 51 891
73 69 890
2
77 46 894
33 23 893
1
45 164 895
0
1
163 123 896
1
32 188 897
2
74 172 899
67 148 898
0
0
0
1
165 169 900
2
72 143 902
71 161 901
1
134 181 903
0
0
0
1
65 137 904
1
184 30 905
0
0
0
1
135 173 906
0
2
182 11 908
108 8 907
2
174 47 910
63 75 909
1
37 71 911
1
78 13 912
0
0
0
0
2
159 61 914
92 13 913
0
0
0
0
0
0
0
1
121 128 915
0
0
2
192 146 917
170 99 916
4
182 191 921
150 133 920
39 87 919
9 84 918
0
1
191 74 922
0
0
0
0
0
0
1
6 71 923
1
128 162 924
0
0
0
1
158 183 925
2
53 156 927
41 90 926
0
2
178 136 929
112 45 928
1
19 170 930
0
0
0
0
2
176 168 932
35 85 931
1
94 177 933
0
1
182 108 934
0
0
0
0
0
1
132 84 935
0
1
162 125 936
0
0
0
0
0
0
2
148 54 938
29 151 937
3
161 67 941
82 37 940
30 24 939
1
187 182 942
0
2
204 17 944
69 18 943
0
2
114 0 946
47 118 945
2
180 147 948
76 36 947
0
0
0
0
1
60 133 949
2
175 47 951
168 62 950
0
0
2
102 105 953
77 190 952
0
0
0
1
90 33 954
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
194 204 955
0
0
0
0
1
33 112 956
1
183 71 957
1
113 161 958
0
0
0
0
1
30 107 959
0
0
0
0
0
0
0
0
3
120 137 962
103 177 961
23 48 960
0
1
10 205 963
0
2
144 97 965
134 67 964
0
2
88 166 967
70 198 966
1
160 65 968
0
2
117 138 970
54 144 969
0
2
125 103 972
115 99 971
0
0
0
0
4
201 72 976
174 68 975
109 158 974
34 202 973
1
59 141 977
0
0
0
0
0
0
2
146 18 979
116 191 978
3
152 16 982
133 112 981
4 154 980
2
75 168 984
41 134 983
0
2
40 139 986
22 81 985
0
0
0
1
125 96 987
0
4
205 20 991
165 119 990
92 195 989
31 6 988
2
155 122 993
7 104 992
1
75 47 994
0
0
1
110 150 995
1
91 194 996
1
114 0 997
0
3
205 3 1000
65 189 999
11 188 998
1
3 42 1001
0
0
0
1
35 116 1002
0
1
3 148 1003
0
0
0
0
0
2
66 187 1005
14 169 1004
0
0
0
0
0
0
0
0
5
197 28 1010
139 23 1009
129 65 1008
60 183 1007
34 56 1006
3
163 117 1013
154 129 1012
87 38 1011
0
1
169 71 1014
2
180 9 1016
58 76 1015
2
184 5 1018
120 49 1017
0
1
185 104 1019
0
0
0
0
0
0
1
92 1 1020
0
2
65 100 1022
55 75 1021
0
2
179 22 1024
163 199 1023
0
0
0
0
0
2
102 140 1026
51 155 1025
1
23 125 1027
0
1
175 4 1028
0
1
177 125 1029
1
200 53 1030
0
0
0
1
6 14 1031
0
0
0
0
0
0
0
0
1
202 166 1032
0
0
0
0
0
0
1
36 86 1033
0
1
56 108 1034
1
94 149 1035
1
14 36 1036
0
1
106 96 1037
0
0
1
58 120 1038
0
0
0
1
146 45 1039
2
110 203 1041
36 147 1040
0
2
177 113 1043
5 158 1042
0
0
1
63 165 1044
0
0
2
157 138 1046
33 176 1045
1
171 32 1047
0
2
168 1 1049
148 99 1048
3
61 51 1052
53 137 1051
47 74 1050
0
0
0
0
0
2
110 98 1054
42 35 1053
0
1
32 83 1055
0
2
127 30 1057
114 197 1056
0
0
0
0
1
160 173 1058
0
0
0
1
113 68 1059
1
6 22 1060
0
1
84 41 1061
0
1
99 25 1062
0
0
0
0
0
0
0
1
201 56 1063
2
178 109 1065
41 96 1064
0
1
56 154 1066
0
0
0
3
184 39 1069
65 74 1068
35 78 1067
2
180 190 1071
63 107 1070
0
0
0
0
0
1
123 81 1072
0
0
0
2
33 199 1074
28 167 1073
0
3
194 101 1077
186 172 1076
2 100 1075
2
171 170 1079
141 161 1078
1
190 40 1080
0
1
136 202 1081
2
124 169 1083
53 84 1082
0
0
0
0
0
0
0
1
66 108 1084
0
0
0
0
0
0
0
5
200 164 1089
191 158 1088
73 67 1087
20 21 1086
17 20 1085
0
0
0
0
1
69 108 1090
0
0
1
98 196 1091
1
3 107 1092
0
0
0
1
101 98 1093
3
104 177 1096
86 160 1095
51 31 1094
0
0
1
103 1 1097
0
0
1
33 172 1098
0
0
1
105 150 1099
0
1
194 2 1100
0
1
165 88 1101
0
0
2
180 11 1103
49 39 1102
1
193 76 1104
0
0
3
116 122 1107
73 118 1106
46 92 1105
0
0
2
104 157 1109
34 185 1108
0
0
2
73 161 1111
54 58 1110
0
0
0
0
2
205 144 1113
33 46 1112
0
2
85 141 1115
38 120 1114
0
1
99 23 1116
0
0
0
1
138 96 1117
1
119 163 1118
0
0
0
1
191 53 1119
0
2
84 95 1121
38 71 1120
0
0
0
3
179 180 1124
102 168 1123
88 137 1122
0
0
0
1
40 82 1125
0
0
1
119 147 1126
0
1
206 84 1127
0
1
70 98 1128
0
2
188 38 1130
14 8 1129
1
139 3 1131
0
0
0
0
3
157 37 1134
128 41 1133
61 98 1132
0
0
0
0
0
0
2
87 127 1136
17 107 1135
0
1
96 146 1137
1
106 129 1138
0
0
0
1
180 164 1139
0
2
92 26 1141
65 92 1140
2
181 45 1143
89 61 1142
2
189 174 1145
57 146 1144
0
2
186 41 1147
81 56 1146
0
0
0
0
0
1
73 110 1148
1
13 131 1149
0
1
142 128 1150
0
0
1
191 186 1151
0
2
76 190 1153
8 134 1152
0
0
0
0
1
21 16 1154
0
1
3 96 1155
0
0
2
122 101 1157
97 150 1156
0
2
177 201 1159
95 57 1158
0
2
192 50 1161
126 3 1160
0
0
2
177 4 1163
4 1 1162
0
1
162 86 1164
1
204 181 1165
0
1
111 147 1166
2
17 14 1168
0 165 1167
2
46 205 1170
21 132 1169
2
184 95 1172
129 35 1171
2
60 142 1174
56 204 1173
1
46 126 1175
0
0
0
0
3
163 98 1178
25 158 1177
1 100 1176
0
0
0
0
0
2
98 135 1180
38 199 1179
0
0
0
1
90 116 1181
0
1
160 8 1182
0
0
1
62 14 1183
0
1
111 86 1184
0
1
136 170 1185
1
80 103 1186
0
0
2
162 151 1188
151 30 1187
0
0
0
0
0
1
116 52 1189
0
0
0
0
0
1
195 62 1190
1
16 32 1191
0
0
1
98 39 1192
0
1
15 145 1193
0
0
1
92 63 1194
1
59 62 1195
0
3
114 159 1198
44 163 1197
12 193 1196
0
0
2
168 51 1200
72 134 1199
1
184 165 1201
0
0
1
45 190 1202
1
197 127 1203
0
1
200 58 1204
3
190 111 1207
117 43 1206
64 81 1205
0
1
98 101 1208
0
0
2
128 124 1210
8 90 1209
0
1
103 204 1211
0
2
190 189 1213
145 24 1212
0
0
0
1
125 80 1214
0
2
200 121 1216
45 92 1215
3
139 57 1219
128 16 1218
116 53 1217
3
146 193 1222
67 76 1221
23 158 1220
1
174 29 1223
2
195 30 1225
73 21 1224
4
200 74 1229
119 185 1228
73 4 1227
1 116 1226
0
0
0
1
176 47 1230
1
37 64 1231
2
180 54 1233
9 138 1232
3
191 81 1236
145 35 1235
135 28 1234
2
158 26 1238
15 11 1237
0
0
1
108 93 1239
0
0
2
136 79 1241
135 173 1240
1
111 164 1242
0
2
50 23 1244
37 105 1243
0
0
0
2
128 154 1246
32 13 1245
0
0
0
2
92 5 1248
84 141 1247
1
8 134 1249
1
160 38 1250
0
0
0
1
83 141 1251
0
0
0
1
158 71 1252
0
0
0
0
0
0
0
0
1
87 54 1253
2
35 142 1255
17 177 1254
1
56 32 1256
1
91 141 1257
2
110 176 1259
21 38 1258
0
0
0
0
0
3
127 25 1262
99 186 1261
49 18 1260
0
0
0
0
2
108 74 1264
75 42 1263
2
184 59 1266
65 41 1265
0
0
0
2
98 68 1268
61 16 1267
0
1
100 157 1269
1
59 91 1270
1
53 173 1271
0
1
29 57 1272
2
94 17 1274
38 43 1273
2
87 182 1276
10 43 1275
1
153 157 1277
0
1
14 119 1278
1
11 88 1279
1
174 145 1280
1
64 0 1281
1
166 7 1282
0
1
198 170 1283
2
147 146 1285
85 46 1284
3
177 7 1288
133 176 1287
87 192 1286
3
123 171 1291
78 160 1290
76 108 1289
3
201 30 1294
178 192 1293
22 175 1292
1
136 145 1295
0
0
0
0
0
0
2
88 139 1297
8 115 1296
0
0
0
0
0
2
175 95 1299
164 49 1298
1
72 3 1300
1
128 26 1301
0
0
1
183 162 1302
1
0 182 1303
0
0
0
0
0
1
23 192 1304
0
0
2
116 199 1306
110 145 1305
0
2
150 21 1308
100 107 1307
0
2
112 200 1310
61 201 1309
1
193 141 1311
1
141 44 1312
1
139 186 1313
0
2
169 205 1315
134 173 1314
0
2
79 198 1317
36 67 1316
0
0
0
0
1
53 35 1318
1
60 117 1319
0
2
155 204 1321
2 6 1320
0
0
2
173 118 1323
109 187 1322
0
1
30 17 1324
2
82 97 1326
3 16 1325
0
0
0
2
36 23 1328
16 56 1327
0
0
4
181 178 1332
177 121 1331
171 112 1330
15 45 1329
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
32 173 1334
26 65 1333
0
1
60 139 1335
0
2
106 203 1337
36 122 1336
0
0
2
103 68 1339
44 13 1338
1
58 37 1340
1
162 204 1341
1
160 54 1342
1
19 11 1343
2
173 60 1345
19 46 1344
0
0
0
0
0
1
17 180 1346
0
0
0
0
0
0
1
71 42 1347
0
1
156 206 1348
0
1
30 28 1349
1
133 74 1350
0
0
1
66 71 1351
0
1
206 198 1352
0
0
1
155 30 1353
1
122 171 1354
0
0
0
0
0
0
0
1
87 39 1355
0
2
150 193 1357
90 84 1356
2
185 56 1359
81 107 1358
0
1
95 58 1360
0
0
3
206 133 1363
62 177 1362
54 70 1361
2
128 42 1365
117 42 1364
2
204 18 1367
45 52 1366
0
0
1
45 12 1368
1
60 121 1369
1
197 31 1370
0
1
137 37 1371
1
68 46 1372
2
41 20 1374
32 164 1373
0
0
0
0
1
30 146 1375
1
94 174 1376
1
160 127 1377
2
59 122 1379
40 25 1378
1
67 126 1380
0
2
107 72 1382
5 9 1381
0
0
1
95 197 1383
0
1
62 79 1384
2
197 124 1386
45 68 1385
1
61 62 1387
2
133 40 1389
56 112 1388
1
117 165 1390
1
100 54 1391
2
77 162 1393
74 97 1392
0
0
0
3
54 173 1396
51 175 1395
44 187 1394
2
129 196 1398
117 28 1397
0
0
2
134 123 1400
83 27 1399
2
44 56 1402
2 184 1401
0
0
1
50 107 1403
0
0
2
116 133 1405
109 65 1404
0
3
109 173 1408
104 89 1407
68 161 1406
1
173 192 1409
1
144 141 1410
1
193 13 1411
0
1
97 3 1412
0
0
0
0
0
0
0
0
0
2
28 199 1414
25 88 1413
0
1
174 148 1415
0
1
100 55 1416
0
0
0
0
0
1
131 76 1417
0
1
79 57 1418
0
2
147 157 1420
24 176 1419
0
1
164 46 1421
0
0
0
1
2 136 1422
0
0
1
92 65 1423
4
202 69 1427
168 138 1426
76 187 1425
72 7 1424
2
136 174 1429
65 183 1428
0
0
0
1
55 14 1430
0
0
0
0
0
0
0
3
150 181 1433
60 189 1432
58 141 1431
2
91 132 1435
11 141 1434
1
185 28 1436
1
26 146 1437
0
0
1
106 69 1438
1
126 18 1439
0
1
78 23 1440
1
59 169 1441
1
74 19 1442
0
2
106 29 1444
103 61 1443
1
106 128 1445
0
0
0
0
0
3
78 160 1448
19 195 1447
7 178 1446
2
196 140 1450
146 8 1449
1
79 7 1451
4
188 164 1455
126 8 1454
75 126 1453
73 110 1452
0
1
62 164 1456
0
0
2
88 133 1458
87 73 1457
0
0
2
164 76 1460
45 172 1459
0
1
117 73 1461
2
123 30 1463
72 188 1462
1
61 151 1464
0
0
0
0
1
72 166 1465
2
185 201 1467
19 155 1466
0
0
0
0
3
198 120 1470
176 105 1469
13 89 1468
1
153 31 1471
1
32 203 1472
0
0
0
0
4
137 57 1476
100 116 1475
60 106 1474
30 124 1473
0
0
0
0
0
0
0
0
0
2
185 63 1478
104 45 1477
0
3
193 98 1481
52 133 1480
23 154 1479
0
0
0
1
169 147 1482
0
0
2
51 139 1484
42 44 1483
0
0
0
2
66 196 1486
46 119 1485
0
1
123 90 1487
2
133 179 1489
54 150 1488
1
62 140 1490
1
6 136 1491
1
159 67 1492
1
201 71 1493
0
0
1
198 109 1494
0
1
76 68 1495
0
2
181 148 1497
86 65 1496
2
154 141 1499
79 6 1498
3
122 32 1502
49 39 1501
1 142 1500
0
1
140 178 1503
0
0
0
0
0
1
162 33 1504
2
162 147 1506
64 34 1505
0
3
68 138 1509
43 137 1508
13 103 1507
0
1
61 99 1510
1
73 130 1511
0
2
136 35 1513
23 44 1512
3
157 108 1516
44 134 1515
6 144 1514
2
128 151 1518
55 149 1517
0
1
151 58 1519
0
0
0
0
1
140 59 1520
0
0
0
2
144 188 1522
126 57 1521
0
0
2
177 116 1524
134 14 1523
1
142 2 1525
0
0
0
0
0
0
2
62 107 1527
14 20 1526
0
0
0
0
0
0
1
59 0 1528
0
0
0
0
0
2
75 181 1530
30 193 1529
0
1
65 83 1531
1
114 116 1532
2
163 56 1534
91 79 1533
0
0
1
182 129 1535
1
19 95 1536
1
198 59 1537
1
38 14 1538
0
3
74 180 1541
46 57 1540
7 78 1539
2
183 26 1543
68 167 1542
1
28 33 1544
2
130 25 1546
35 98 1545
3
157 56 1549
149 168 1548
10 46 1547
1
166 105 1550
1
31 62 1551
1
127 118 1552
1
10 32 1553
0
0
1
53 156 1554
1
130 118 1555
0
0
0
0
2
171 169 1557
59 3 1556
0
0
1
44 107 1558
0
0
0
1
49 106 1559
3
183 172 1562
153 64 1561
114 37 1560
1
193 25 1563
3
168 181 1566
37 85 1565
11 66 1564
0
1
153 161 1567
0
3
72 121 1570
21 41 1569
2 63 1568
4
99 191 1574
74 89 1573
32 112 1572
17 111 1571
0
1
103 161 1575
1
206 119 1576
0
1
18 165 1577
0
1
198 152 1578
0
0
3
137 206 1581
68 146 1580
58 194 1579
0
0
1
168 154 1582
1
45 90 1583
1
128 149 1584
0
0
0
1
96 102 1585
0
1
73 21 1586
0
0
0
0
0
1
69 29 1587
1
31 86 1588
1
94 26 1589
2
195 187 1591
43 134 1590
0
0
2
124 43 1593
116 65 1592
3
195 164 1596
192 180 1595
46 202 1594
1
41 39 1597
0
1
170 91 1598
1
191 125 1599
0
0
0
0
0
1
117 96 1600
2
135 182 1602
34 111 1601
0
2
132 121 1604
56 62 1603
3
172 18 1607
155 174 1606
125 68 1605
0
0
0
1
40 41 1608
1
4 163 1609
3
100 200 1612
59 7 1611
35 150 1610
0
0
0
0
0
1
118 160 1613
0
1
146 205 1614
0
0
0
0
3
192 162 1617
188 113 1616
34 62 1615
0
2
136 78 1619
97 116 1618
0
2
172 120 1621
149 130 1620
0
1
33 45 1622
1
6 160 1623
0
0
0
0
3
176 12 1626
53 104 1625
44 107 1624
0
0
0
3
198 156 1629
101 6 1628
47 167 1627
1
38 155 1630
3
139 76 1633
23 92 1632
2 185 1631
1
199 157 1634
0
0
0
1
157 119 1635
2
171 83 1637
0 119 1636
0
1
154 44 1638
1
94 195 1639
0
1
77 64 1640
3
168 198 1643
27 60 1642
12 107 1641
3
187 80 1646
99 166 1645
10 70 1644
0
1
4 165 1647
3
181 56 1650
147 155 1649
65 201 1648
0
1
176 14 1651
0
0
0
0
1
67 192 1652
2
148 144 1654
56 99 1653
2
83 199 1656
23 36 1655
2
182 83 1658
102 69 1657
0
0
0
0
4
169 105 1662
156 5 1661
130 89 1660
33 203 1659
0
1
169 24 1663
1
97 76 1664
0
0
0
0
0
1
121 50 1665
3
94 128 1668
75 178 1667
16 202 1666
0
2
165 125 1670
74 57 1669
1
143 204 1671
0
0
0
1
159 17 1672
1
6 41 1673
0
3
149 47 1676
138 86 1675
107 77 1674
0
0
0
3
160 41 1679
72 167 1678
12 96 1677
3
32 175 1682
30 184 1681
23 196 1680
0
1
183 48 1683
1
145 92 1684
1
116 157 1685
0
0
3
116 32 1688
81 63 1687
31 158 1686
0
1
138 105 1689
0
0
1
87 144 1690
1
95 157 1691
2
67 140 1693
46 99 1692
0
0
0
0
2
113 196 1695
26 22 1694
1
16 172 1696
2
205 93 1698
70 94 1697
0
0
1
103 172 1699
1
120 119 1700
0
1
104 163 1701
2
164 89 1703
125 129 1702
0
1
170 59 1704
0
0
1
16 65 1705
0
0
0
0
1
6 31 1706
0
0
0
0
0
1
61 206 1707
1
28 60 1708
0
2
138 187 1710
73 135 1709
1
12 138 1711
1
71 34 1712
0
0
1
140 43 1713
0
0
0
0
1
30 143 1714
0
0
0
2
59 40 1716
20 30 1715
0
0
0
0
1
8 32 1717
0
1
21 106 1718
4
170 109 1722
140 121 1721
108 124 1720
21 89 1719
0
0
0
1
143 107 1723
1
60 118 1724
0
0
1
148 168 1725
0
2
187 51 1727
136 150 1726
2
128 73 1729
42 155 1728
0
0
0
2
195 133 1731
161 146 1730
0
0
0
0
1
171 167 1732
0
2
173 53 1734
34 98 1733
0
1
77 55 1735
0
0
0
0
0
0
0
1
50 84 1736
0
1
165 132 1737
0
0
0
0
3
205 103 1740
44 200 1739
0 47 1738
2
86 195 1742
82 173 1741
0
3
135 27 1745
81 33 1744
52 129 1743
1
150 85 1746
3
132 146 1749
125 116 1748
18 51 1747
1
41 38 1750
1
45 151 1751
0
3
190 84 1754
115 170 1753
24 104 1752
0
0
0
0
0
1
33 16 1755
1
126 135 1756
0
1
125 119 1757
1
46 0 1758
0
1
133 170 1759
0
2
120 127 1761
74 115 1760
0
1
202 144 1762
1
193 69 1763
0
1
73 130 1764
1
34 117 1765
0
0
0
1
192 96 1766
0
2
72 31 1768
31 22 1767
0
0
1
142 177 1769
0
2
177 116 1771
143 2 1770
0
1
194 41 1772
1
118 110 1773
3
204 16 1776
102 71 1775
44 130 1774
2
183 137 1778
118 76 1777
0
0
1
172 153 1779
0
2
139 104 1781
74 129 1780
2
200 72 1783
183 200 1782
2
155 35 1785
31 69 1784
0
1
179 165 1786
2
121 112 1788
95 189 1787
0
0
1
140 9 1789
2
115 87 1791
112 169 1790
1
22 23 1792
1
38 137 1793
1
122 81 1794
0
1
136 55 1795
1
72 130 1796
1
45 5 1797
0
0
1
95 67 1798
3
129 158 1801
45 101 1800
30 89 1799
2
206 162 1803
21 101 1802
0
0
0
2
155 147 1805
115 9 1804
1
68 172 1806
1
155 200 1807
1
76 28 1808
2
132 109 1810
46 175 1809
1
134 78 1811
0
3
158 165 1814
74 109 1813
35 19 1812
0
2
85 94 1816
20 52 1815
1
1 28 1817
3
95 19 1820
85 13 1819
80 20 1818
1
96 90 1821
0
0
1
63 67 1822
1
74 96 1823
2
162 14 1825
46 64 1824
5
182 193 1830
131 205 1829
85 73 1828
72 46 1827
30 54 1826
0
1
92 70 1831
1
190 149 1832
0
0
0
0
0
0
0
0
0
0
0
0
0
1
71 145 1833
0
1
184 67 1834
1
48 99 1835
0
2
176 78 1837
59 196 1836
0
2
201 59 1839
121 77 1838
0
3
98 199 1842
61 51 1841
35 53 1840
3
39 50 1845
32 155 1844
16 94 1843
2
140 12 1847
115 7 1846
0
0
0
2
59 19 1849
36 138 1848
1
47 196 1850
0
0
1
149 97 1851
0
0
1
126 70 1852
0
1
83 119 1853
3
183 133 1856
157 27 1855
126 147 1854
1
31 140 1857
0
1
148 0 1858
2
188 178 1860
90 173 1859
0
1
80 65 1861
1
116 64 1862
1
58 163 1863
0
0
0
2
28 50 1865
7 74 1864
0
2
185 94 1867
99 29 1866
0
0
1
142 112 1868
0
0
0
2
155 71 1870
76 131 1869
0
2
96 173 1872
5 51 1871
2
112 105 1874
83 178 1873
0
0
0
2
132 98 1876
86 26 1875
0
1
119 169 1877
0
3
193 167 1880
151 20 1879
87 180 1878
0
2
150 56 1882
67 42 1881
0
0
0
1
109 181 1883
0
0
0
0
0
1
26 72 1884
2
148 117 1886
5 142 1885
1
143 96 1887
0
0
0
0
0
0
0
1
198 122 1888
0
2
100 3 1890
10 2 1889
0
1
76 166 1891
2
37 145 1893
30 133 1892
0
1
112 64 1894
1
159 54 1895
1
129 19 1896
2
60 73 1898
32 156 1897
1
160 122 1899
0
1
141 144 1900
0
2
179 201 1902
11 108 1901
2
199 35 1904
195 61 1903
1
102 131 1905
0
0
2
158 90 1907
97 187 1906
0
1
101 24 1908
0
1
134 80 1909
0
2
150 143 1911
102 65 1910
2
130 159 1913
47 68 1912
0
0
1
205 95 1914
0
0
0
0
0
2
187 84 1916
74 144 1915
1
47 85 1917
2
180 52 1919
144 149 1918
0
1
161 179 1920
1
74 194 1921
1
105 161 1922
1
100 178 1923
0
0
3
64 204 1926
37 85 1925
33 47 1924
1
86 52 1927
0
0
0
2
183 143 1929
68 31 1928
2
176 132 1931
98 90 1930
0
2
107 23 1933
88 71 1932
1
127 203 1934
0
1
44 193 1935
0
2
41 157 1937
40 190 1936
0
1
182 12 1938
0
0
0
1
127 24 1939
0
1
90 2 1940
2
201 96 1942
0 113 1941
1
111 68 1943
2
178 180 1945
129 160 1944
0
0
1
13 173 1946
0
0
2
93 195 1948
68 108 1947
0
2
200 91 1950
73 27 1949
1
16 42 1951
0
1
185 8 1952
2
32 164 1954
24 58 1953
0
1
110 83 1955
0
1
69 36 1956
2
156 161 1958
75 130 1957
0
1
25 38 1959
0
1
203 127 1960
3
138 2 1963
132 11 1962
5 178 1961
2
38 102 1965
36 101 1964
1
55 195 1966
0
0
1
163 188 1967
2
35 122 1969
5 124 1968
4
136 30 1973
91 69 1972
61 74 1971
46 111 1970
3
190 146 1976
131 126 1975
9 70 1974
3
140 171 1979
119 184 1978
51 36 1977
0
1
47 100 1980
0
2
46 5 1982
37 6 1981
0
1
98 18 1983
0
0
2
170 98 1985
72 202 1984
0
0
1
144 200 1986
0
1
97 61 1987
0
0
2
184 110 1989
31 76 1988
2
124 39 1991
69 149 1990
0
0
0
0
0
0
1
34 117 1992
2
95 92 1994
51 155 1993
3
113 80 1997
95 124 1996
57 126 1995
0
0
1
136 162 1998
0
1
120 25 1999
2
89 189 2001
78 195 2000
1
127 25 2002
2
171 25 2004
44 17 2003
1
200 61 2005
2
45 60 2007
0 178 2006
2
134 119 2009
60 96 2008
0
0
0
0
0
0
0
2
168 69 2011
146 1 2010
0
0
2
203 70 2013
98 155 2012
1
143 93 2014
2
73 84 2016
40 130 2015
0
3
180 42 2019
138 168 2018
59 21 2017
2
52 71 2021
44 39 2020
0
0
0
1
90 86 2022
1
31 139 2023
1
91 128 2024
0
0
0
1
202 57 2025
0
0
1
62 16 2026
2
92 124 2028
77 117 2027
0
0
2
158 122 2030
90 122 2029
1
26 179 2031
2
153 138 2033
90 169 2032
0
0
1
54 172 2034
1
177 193 2035
2
194 97 2037
193 104 2036
1
181 45 2038
0
2
44 118 2040
27 148 2039
1
193 163 2041
3
77 122 2044
45 30 2043
14 136 2042
0
0
2
134 161 2046
104 19 2045
0
0
1
131 12 2047
0
1
123 148 2048
0
0
0
0
2
166 116 2050
19 205 2049
0
2
102 89 2052
64 51 2051
0
0
0
1
114 123 2053
1
44 206 2054
0
1
188 3 2055
0
0
0
0
1
50 206 2056
0
1
83 186 2057
1
78 75 2058
0
0
0
2
121 129 2060
87 85 2059
1
0 139 2061
2
201 60 2063
162 117 2062
0
0
0
0
2
154 135 2065
129 32 2064
1
15 138 2066
1
2 65 2067
1
54 134 2068
0
2
187 34 2070
58 30 2069
1
52 156 2071
0
2
193 184 2073
178 62 2072
1
53 118 2074
0
1
97 126 2075
1
167 47 2076
2
203 86 2078
21 204 2077
2
57 98 2080
32 98 2079
0
0
1
73 21 2081
0
2
46 167 2083
32 93 2082
0
0
0
0
1
156 137 2084
0
0
1
105 149 2085
0
0
1
37 51 2086
2
197 122 2088
7 63 2087
1
150 173 2089
1
0 3 2090
0
0
0
0
0
0
0
2
125 3 2092
52 32 2091
1
13 31 2093
1
176 144 2094
2
166 91 2096
86 10 2095
1
140 99 2097
1
72 13 2098
0
0
0
0
0
0
2
193 158 2100
18 152 2099
1
99 91 2101
1
193 151 2102
0
1
97 158 2103
1
20 107 2104
3
189 22 2107
122 182 2106
35 25 2105
0
3
185 85 2110
54 148 2109
6 187 2108
0
1
90 148 2111
2
136 181 2113
61 16 2112
1
178 200 2114
0
1
61 78 2115
0
0
1
123 0 2116
0
0
0
0
1
138 5 2117
1
167 3 2118
2
179 97 2120
4 14 2119
1
102 54 2121
1
45 157 2122
0
0
1
110 53 2123
0
2
85 59 2125
66 204 2124
0
0
0
1
191 178 2126
0
0
0
1
18 47 2127
2
187 101 2129
4 129 2128
0
0
1
161 103 2130
0
0
0
4
157 149 2134
89 193 2133
67 10 2132
61 51 2131
3
181 154 2137
147 98 2136
103 184 2135
1
109 201 2138
1
8 24 2139
0
0
1
162 18 2140
2
206 118 2142
7 62 2141
0
0
0
0
0
2
57 97 2144
10 1 2143
2
78 97 2146
38 155 2145
2
189 32 2148
34 181 2147
1
14 65 2149
1
144 35 2150
2
75 175 2152
27 158 2151
1
3 60 2153
1
108 26 2154
2
182 50 2156
31 3 2155
0
0
1
157 56 2157
3
126 180 2160
100 42 2159
16 110 2158
2
166 53 2162
75 52 2161
0
0
2
87 46 2164
17 104 2163
1
57 135 2165
1
58 100 2166
1
88 45 2167
2
43 137 2169
21 122 2168
0
0
0
0
0
1
201 152 2170
1
133 4 2171
0
1
19 65 2172
1
44 111 2173
1
154 58 2174
2
118 80 2176
58 148 2175
0
0
2
118 181 2178
47 195 2177
0
3
110 141 2181
70 189 2180
31 126 2179
1
129 184 2182
2
131 26 2184
83 70 2183
0
1
115 51 2185
0
3
114 45 2188
112 145 2187
46 67 2186
0
0
3
98 92 2191
53 140 2190
13 202 2189
1
138 58 2192
0
1
18 133 2193
0
1
84 3 2194
0
2
143 141 2196
82 174 2195
0
0
0
0
1
24 182 2197
0
0
1
199 28 2198
0
2
180 65 2200
106 5 2199
0
1
90 5 2201
2
114 123 2203
63 106 2202
3
138 142 2206
67 144 2205
65 15 2204
3
119 40 2209
72 25 2208
67 197 2207
1
189 188 2210
0
0
1
131 163 2211
3
130 151 2214
88 180 2213
10 170 2212
1
144 97 2215
1
6 124 2216
2
85 46 2218
8 66 2217
1
5 156 2219
0
0
4
125 114 2223
60 132 2222
58 71 2221
16 33 2220
1
65 164 2224
0
0
2
78 44 2226
14 119 2225
0
1
199 50 2227
1
41 189 2228
1
119 171 2229
0
1
161 100 2230
0
1
189 98 2231
2
183 99 2233
61 133 2232
0
1
103 54 2234
1
31 42 2235
0
0
1
43 143 2236
1
29 9 2237
2
187 34 2239
7 22 2238
0
1
87 161 2240
2
200 109 2242
